House_ID,Area_sqft,Bedrooms,Bathrooms,Floors,Parking,House_Age,Location,Furnishing,Main_Road,Air_Conditioning,Basement,Garden,Price
1,3219,1,1,3,2,7,Riverside,Furnished,Yes,Yes,No,Yes,19314044
2,983,2,2,3,0,17,Riverside,Unfurnished,No,Yes,No,No,6882414
3,3708,2,4,2,2,8,Uptown,Furnished,No,Yes,Yes,No,22909014
4,2070,3,5,2,0,23,Hill View,Unfurnished,Yes,No,Yes,No,13879176
5,3133,3,5,1,0,1,Riverside,Semi-Furnished,Yes,Yes,Yes,No,19765076
6,2457,6,6,1,2,11,Riverside,Unfurnished,No,Yes,Yes,Yes,16809739
7,2493,4,5,3,1,21,City Center,Furnished,Yes,Yes,No,No,17466346
8,871,2,4,3,2,6,Hill View,Semi-Furnished,No,Yes,No,Yes,7839807
9,3651,5,6,2,3,28,East Side,Semi-Furnished,No,Yes,Yes,No,22596525
10,3695,1,1,1,1,25,Lake View,Unfurnished,Yes,No,No,No,21258816
11,1629,5,5,3,0,21,West End,Semi-Furnished,No,Yes,No,No,11818640
12,2458,1,3,3,2,16,Uptown,Unfurnished,Yes,No,Yes,Yes,15645677
13,3723,2,4,3,0,19,City Center,Semi-Furnished,Yes,Yes,No,No,22798683
14,837,2,4,1,0,23,Hill View,Furnished,Yes,Yes,No,Yes,7356332
15,2761,5,6,1,1,22,Green Park,Semi-Furnished,No,No,No,Yes,18011147
16,1520,1,2,1,1,18,Riverside,Furnished,Yes,Yes,Yes,Yes,10312938
17,4121,3,3,3,1,8,Hill View,Furnished,Yes,No,Yes,No,25032033
18,1379,1,1,3,3,11,Lake View,Semi-Furnished,No,Yes,Yes,Yes,10534979
19,3582,3,3,1,1,6,West End,Semi-Furnished,Yes,No,Yes,No,21583500
20,1623,1,2,3,0,1,West End,Furnished,Yes,Yes,Yes,No,11530831
21,2571,2,3,1,1,12,Downtown,Semi-Furnished,No,No,No,No,16833629
22,3592,5,6,3,3,4,Riverside,Semi-Furnished,Yes,Yes,Yes,No,23056342
23,805,5,6,3,1,1,West End,Furnished,Yes,Yes,Yes,Yes,9151389
24,1091,5,5,3,0,19,Suburban,Semi-Furnished,No,No,Yes,No,8971480
25,1687,4,4,3,2,14,City Center,Furnished,Yes,No,Yes,Yes,13674150
26,1473,5,6,1,2,28,Suburban,Furnished,No,No,Yes,No,11535205
27,3481,3,5,3,0,21,West End,Semi-Furnished,Yes,Yes,No,Yes,21145435
28,3640,5,5,2,2,19,Riverside,Unfurnished,No,Yes,No,No,22269319
29,4308,1,1,3,3,26,Green Park,Furnished,Yes,No,Yes,No,24843030
30,3636,4,6,3,3,17,Downtown,Furnished,Yes,Yes,Yes,No,24452005
31,2863,2,3,1,0,9,City Center,Furnished,No,Yes,Yes,Yes,18736458
32,3795,5,6,3,1,29,Riverside,Furnished,Yes,No,Yes,Yes,24394343
33,4386,3,4,3,1,8,Uptown,Unfurnished,Yes,No,Yes,No,26096438
34,1417,4,5,2,1,7,Downtown,Unfurnished,Yes,No,No,No,11045192
